City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
florianopolis,75,BR,1586207315,64,-27.61,-48.5,21.67,3.1
tuatapere,43,NZ,1586207523,96,-46.13,167.68,11.67,0.89
shahreza,50,IR,1586207524,17,32.03,51.88,14.56,1.07
muros,75,ES,1586207247,82,42.78,-9.06,15.56,1.0
bantry,20,IE,1586207524,86,51.68,-9.45,5.0,1.5
saint-philippe,20,RE,1586207524,69,-21.36,55.77,24.0,2.1
divnomorskoye,0,RU,1586207524,49,44.5,38.14,8.44,11.33
atuona,5,PF,1586207525,76,-9.8,-139.03,27.92,6.88
vao,100,NC,1586207525,81,-22.67,167.48,24.81,8.65
airai,13,TL,1586207526,67,-8.93,125.41,15.77,0.88
esna,0,EG,1586207526,36,25.29,32.55,26.0,2.1
clyde river,20,CA,1586207526,72,70.47,-68.59,-10.0,15.9
pilar,20,BR,1586207526,78,-9.6,-35.96,28.0,4.1
ulaangom,100,MN,1586207526,83,49.98,92.07,-4.62,0.51
sur,1,OM,1586207527,50,22.57,59.53,27.03,0.68
flinders,73,AU,1586207527,71,-34.58,150.86,16.67,3.1
tuktoyaktuk,90,CA,1586207527,85,69.45,-133.04,-4.0,8.7
torbay,90,CA,1586207527,80,47.67,-52.73,0.56,11.3
clarence town,40,AU,1586207358,93,-32.58,151.78,16.11,4.6
provideniya,64,RU,1586207528,83,64.38,-173.3,-14.91,1.44
ahipara,41,NZ,1586207528,75,-35.17,173.17,17.31,3.37
vila franca do campo,75,PT,1586207528,100,37.72,-25.43,17.0,4.6
sainte-marie,29,RE,1586207528,69,-20.9,55.55,24.0,6.2
sept-iles,75,CA,1586207386,47,50.2,-66.38,2.0,7.7
taraz,18,KZ,1586207455,76,42.9,71.37,12.0,2.0
gomel,0,BY,1586207530,56,52.43,30.98,6.0,2.0
auray,90,FR,1586207530,81,47.67,-2.99,12.22,2.6
arraial do cabo,2,BR,1586207454,74,-22.97,-42.03,26.0,6.2
geraldton,1,AU,1586207530,87,-28.77,114.6,16.0,4.1
tezu,34,IN,1586207530,34,27.92,96.17,20.26,1.65
arkhangelsk,40,RU,1586207530,85,64.54,40.54,-5.0,1.0
aktau,75,KZ,1586207531,38,43.65,51.2,5.0,13.0
brigantine,1,US,1586207531,44,39.41,-74.36,20.56,4.6
teya,34,RU,1586207531,94,60.38,92.63,-2.86,1.44
mar del plata,40,AR,1586207347,51,-38.0,-57.56,15.0,6.7
cidreira,87,BR,1586207531,83,-30.18,-50.21,21.41,4.16
taoudenni,0,ML,1586207531,12,22.68,-3.98,30.06,6.01
marrakesh,17,MA,1586207532,56,31.63,-8.01,23.0,5.1
orsk,100,RU,1586207303,59,51.2,58.57,2.0,6.0
nakamura,100,JP,1586207532,54,32.98,132.93,8.31,1.33
marquette,90,US,1586207532,61,46.53,-87.63,8.33,3.1
cape town,20,ZA,1586207323,58,-33.93,18.42,13.33,2.1
novobirilyussy,76,RU,1586207532,91,56.95,90.67,2.79,2.2
nemuro,4,JP,1586207532,87,43.32,145.57,1.55,4.53
chuy,1,UY,1586207533,51,-33.7,-53.46,16.61,8.06
margate,5,GB,1586207381,66,51.38,1.39,12.22,1.5
eureka,20,US,1586207360,66,40.8,-124.16,13.89,7.2
olhao,75,PT,1586207533,93,37.03,-7.84,17.0,2.1
puerto ayora,20,EC,1586207533,70,-0.74,-90.35,30.0,5.1
namatanai,83,PG,1586207533,73,-3.67,152.43,27.87,3.26
can tho,47,VN,1586207534,94,10.03,105.78,23.68,0.99
avarua,75,CK,1586207376,88,-21.21,-159.78,26.0,2.1
bubaque,0,GW,1586207514,72,11.28,-15.83,26.11,7.3
lompoc,75,US,1586207350,58,34.64,-120.46,15.56,5.7
seymchan,0,RU,1586207535,88,62.88,152.43,-11.39,1.38
umm lajj,0,SA,1586207535,47,25.02,37.27,27.32,2.17
montoro,68,ES,1586207535,93,38.02,-4.38,17.78,1.0
plettenberg bay,66,ZA,1586207535,72,-34.05,23.37,13.3,5.76
kashi,13,CN,1586207535,19,39.45,75.98,13.0,3.0
bambous virieux,40,MU,1586207536,88,-20.34,57.76,25.56,5.1
tambopata,67,PE,1586207536,53,-12.73,-69.18,32.76,0.95
carutapera,100,BR,1586207536,86,-1.2,-46.02,27.49,4.97
aksu,57,CN,1586207369,23,41.12,80.26,13.49,0.72
lasa,5,IT,1586207536,65,46.62,10.7,11.0,1.0
wahiawa,90,US,1586207536,88,21.5,-158.02,27.0,3.6
houma,75,US,1586207536,61,29.6,-90.72,28.0,5.7
goderich,100,CA,1586207292,50,43.75,-81.72,12.22,1.93
sao joao da barra,6,BR,1586207537,74,-21.64,-41.05,27.0,8.2
iqaluit,40,CA,1586207537,71,63.75,-68.51,-16.0,9.8
new norfolk,20,AU,1586207452,81,-42.78,147.06,7.0,3.1
letka,0,RU,1586207537,95,59.6,49.42,-5.34,3.01
saint anthony,90,US,1586207537,58,45.02,-93.22,15.56,4.1
dingle,0,PH,1586207538,82,11.0,122.67,24.1,2.52
paramonga,28,PE,1586207538,69,-10.67,-77.83,24.62,4.43
bengkulu,100,ID,1586207538,83,-3.8,102.27,24.92,2.7
verkhnevilyuysk,100,RU,1586207538,92,63.45,120.32,0.34,2.06
benevides,40,BR,1586207487,88,-1.36,-48.24,27.0,1.5
tura,0,IN,1586207538,26,25.52,90.22,22.04,3.06
cherskiy,100,RU,1586207538,95,68.75,161.3,-12.14,6.88
grand gaube,40,MU,1586207538,88,-20.01,57.66,25.56,5.1
sao filipe,0,CV,1586207539,73,14.9,-24.5,22.94,6.14
lorengau,95,PG,1586207539,78,-2.02,147.27,28.07,4.49
ipixuna,40,BR,1586207539,88,-1.76,-48.8,27.0,1.5
brae,36,GB,1586207394,75,60.4,-1.35,8.0,9.3
tilichiki,100,RU,1586207539,95,60.47,166.1,-5.6,3.44
mayumba,100,GA,1586207539,85,-3.43,10.66,26.32,3.1
kupang,69,ID,1586207539,75,-10.17,123.58,27.43,3.26
yulara,100,AU,1586207540,34,-25.24,130.99,18.0,4.1
douentza,0,ML,1586207240,10,15.0,-2.95,31.45,3.34
henties bay,0,NA,1586207540,90,-22.12,14.28,16.11,0.89
sao gabriel da cachoeira,99,BR,1586207540,73,-0.13,-67.09,29.45,1.06
gat,20,IL,1586207540,77,31.61,34.76,17.22,3.1
pangnirtung,20,CA,1586207540,78,66.15,-65.71,-13.0,1.5
onega,81,RU,1586207540,93,63.91,38.14,-2.41,3.59
itacarambi,99,BR,1586207540,74,-15.1,-44.09,25.39,1.15
vega de alatorre,16,MX,1586207541,75,20.03,-96.63,28.23,4.21
leek,75,NL,1586207541,93,53.16,6.38,12.22,3.6
vila do maio,0,CV,1586207541,57,15.13,-23.22,24.0,7.7
qandala,0,SO,1586207358,62,11.47,49.87,27.81,1.46
limon,100,CR,1586207242,74,10.0,-83.03,30.56,5.7
northam,0,GB,1586207385,70,51.03,-4.22,9.44,0.69
quatre cocos,40,MU,1586207541,88,-20.21,57.76,25.56,5.1
bar harbor,20,US,1586207542,22,44.39,-68.2,12.78,6.7
misratah,0,LY,1586207542,66,32.38,15.09,15.49,4.38
esmeraldas,40,BR,1586207542,51,-19.76,-44.31,30.0,3.1
chardara,49,KZ,1586207542,58,41.25,67.97,15.63,3.38
salekhard,100,RU,1586207542,96,66.53,66.6,-9.01,2.22
burnie,9,AU,1586207543,77,-41.07,145.92,10.0,4.92
cap-haitien,32,HT,1586207543,70,19.76,-72.2,27.2,4.23
mnogovershinnyy,100,RU,1586207543,95,53.94,139.92,-7.13,4.23
souillac,40,MU,1586207543,88,-20.52,57.52,25.56,5.1
touros,20,BR,1586207543,74,-5.2,-35.46,30.0,5.1
bac lieu,64,VN,1586207316,82,9.29,105.72,26.28,2.71
dunedin,86,NZ,1586207544,92,-45.87,170.5,14.44,4.72
katesh,96,TZ,1586207544,59,-4.52,35.38,15.54,1.4
kavieng,39,PG,1586207544,72,-2.57,150.8,28.34,1.89
yazd,40,IR,1586207544,21,31.9,54.37,17.0,2.1
yar-sale,93,RU,1586207544,98,66.83,70.83,-6.88,2.6
verkhnyaya inta,100,RU,1586207544,96,65.98,60.31,-7.17,1.57
zhezkazgan,100,KZ,1586207544,43,47.8,67.71,9.64,4.66
sorkjosen,75,NO,1586207544,69,69.8,20.93,1.0,7.2
bafoulabe,0,ML,1586207393,10,13.81,-10.83,34.15,2.14
katherine,94,AU,1586207545,73,-14.47,132.27,23.0,2.6
palu,98,ID,1586207545,81,-0.89,119.87,24.64,1.15
wawa,31,NG,1586207545,40,9.9,4.42,33.2,4.76
porto velho,75,BR,1586207327,94,-8.76,-63.9,27.0,1.19
mandal,0,IN,1586207545,16,25.45,74.57,25.73,3.64
morondava,11,MG,1586207331,82,-20.28,44.28,25.09,1.14
ruteng,75,ID,1586207545,72,-8.61,120.47,18.15,1.29
grand-lahou,16,CI,1586207545,85,5.14,-5.02,28.11,3.89
saldanha,25,ZA,1586207545,81,-33.01,17.94,12.0,0.5
sakaiminato,40,JP,1586207546,93,35.55,133.23,4.0,3.1
kurumkan,0,RU,1586207546,73,54.3,110.3,-1.89,1.16
longyearbyen,75,SJ,1586207289,66,78.22,15.64,-11.0,7.2
ayia marina,75,GR,1586207546,66,37.75,23.53,11.11,6.2
ourossogui,0,SN,1586207546,11,15.61,-13.32,33.81,3.12
mehran,75,IR,1586207546,62,33.12,46.16,15.0,3.1
faya,34,SA,1586207546,63,18.39,42.45,19.0,2.44
dolinsk,75,RU,1586207546,97,47.35,142.8,0.0,7.0
bonthe,77,SL,1586207547,85,7.53,-12.51,27.55,2.84
pevek,95,RU,1586207547,84,69.7,170.31,-18.72,6.6
norman wells,40,CA,1586207547,53,65.28,-126.83,-5.0,5.7
pontes e lacerda,83,BR,1586207547,80,-15.23,-59.34,26.35,0.37
meadow lake,1,US,1586207956,11,34.8,-106.54,23.33,2.6
barrow,90,US,1586207547,78,71.29,-156.79,-13.0,7.2
san juan,23,AR,1586207382,23,-31.54,-68.54,20.87,4.07
palmer,20,US,1586207547,13,42.16,-72.33,18.0,7.2
roebourne,69,AU,1586207547,67,-20.78,117.13,26.17,1.95
port alfred,55,ZA,1586207331,64,-33.59,26.89,16.23,9.34
narsaq,0,GL,1586207548,33,60.92,-46.05,-2.0,1.5
